Cliente,Fecha,Importe,Estado
9452,01/01/2020,51356,Completado
9567,01/01/2020,96994,Completado
10551,01/01/2020,33280,Completado
9320,01/01/2020,18045,Completado
9043,01/01/2020,2286,Completado
9187,01/01/2020,4270,Completado
10383,01/01/2020,59721,Completado
10091,01/01/2020,54594,Completado
10493,01/01/2020,53060,Completado
10367,01/01/2020,3382,Completado
10317,01/01/2020,82727,Completado
10495,01/01/2020,18796,Completado
9456,01/01/2020,26838,Completado
10506,01/01/2020,39615,Completado
9572,01/01/2020,81136,Completado
9787,01/01/2020,73002,Completado
9726,01/01/2020,73803,Completado
9940,01/01/2020,35236,Completado
9533,01/01/2020,50970,Completado
9043,01/01/2020,60746,Completado
10520,02/01/2020,92010,Completado
9350,02/01/2020,61261,Completado
10188,02/01/2020,55704,Completado
10321,02/01/2020,58613,Completado
10419,02/01/2020,8208,Completado
9028,02/01/2020,72987,Completado
10054,02/01/2020,39691,Completado
9441,02/01/2020,93118,Completado
9864,02/01/2020,21246,Completado
9985,02/01/2020,6993,Completado
9604,02/01/2020,3032,Completado
10363,02/01/2020,19560,Completado
10576,02/01/2020,10484,Completado
10333,02/01/2020,40111,Completado
9962,02/01/2020,39371,Completado
10155,02/01/2020,61443,Completado
10236,02/01/2020,3522,Completado
10099,02/01/2020,13423,Completado
10159,02/01/2020,37159,Completado
10489,02/01/2020,16356,Completado
10543,03/01/2020,8363,Completado
9667,03/01/2020,15282,Completado
9528,03/01/2020,41471,Completado
9603,03/01/2020,19712,Completado
9015,03/01/2020,7556,Completado
10060,03/01/2020,29631,Completado
10311,03/01/2020,79925,Completado
9272,03/01/2020,74664,Completado
9102,03/01/2020,14679,Completado
10150,03/01/2020,45435,Completado
10592,03/01/2020,50888,Completado
10473,03/01/2020,43144,Completado
9110,03/01/2020,93407,Completado
9002,03/01/2020,29038,Completado
10604,03/01/2020,72844,Completado
9248,03/01/2020,98041,Completado
9432,03/01/2020,40117,Completado
10069,03/01/2020,58522,Completado
9368,03/01/2020,98418,Completado
9235,03/01/2020,41239,Completado
10115,04/01/2020,26105,Completado
9147,04/01/2020,21872,Completado
9762,04/01/2020,89257,Completado
9717,04/01/2020,79824,Completado
10270,04/01/2020,5986,Completado
10493,04/01/2020,75379,Completado
10635,04/01/2020,53806,Completado
10333,04/01/2020,69354,Completado
9343,04/01/2020,85751,Completado
10254,04/01/2020,67623,Completado
9003,04/01/2020,47699,Completado
9416,04/01/2020,15878,Completado
10227,04/01/2020,55784,Completado
9715,04/01/2020,22794,Completado
9020,04/01/2020,37043,Completado
9111,04/01/2020,42052,Completado
9429,04/01/2020,82949,Completado
9002,04/01/2020,88113,Completado
9781,04/01/2020,23458,Completado
9193,04/01/2020,16764,Completado
10462,05/01/2020,69144,Completado
9223,05/01/2020,45064,Completado
9770,05/01/2020,31989,Completado
9300,05/01/2020,44678,Completado
9490,05/01/2020,69184,Completado
9882,05/01/2020,79353,Completado
9878,05/01/2020,61644,Completado
9746,05/01/2020,21093,Completado
9130,05/01/2020,73109,Completado
9784,05/01/2020,17953,Completado
10038,05/01/2020,98260,Completado
9233,05/01/2020,46713,Completado
9442,05/01/2020,50179,Completado
9787,05/01/2020,24304,Completado
9365,05/01/2020,89944,Completado
